"variable","skew_before","needs_log","skew_after","improved"
"sale_price",7.83328433403524,TRUE,-0.16865319759835,"Yes"
"number_of_bedrooms",0.883629491015618,FALSE,NA,"No"
"number_of_bathrooms",1.81696305926313,TRUE,1.12878002831756,"Yes"
"total_livable_area",3.87594312299432,TRUE,0.952948629925347,"Yes"
"year_built",0.545671916008962,FALSE,NA,"No"
"zip_code",-0.447930050259728,FALSE,NA,"No"
"category_code",NA,NA,NA,"No"
"exterior_condition",-1.62134517560887,TRUE,-2.62915319998845,"No"
"interior_condition",-0.773796421843567,FALSE,NA,"No"
"census_tract",-0.0201629877605746,FALSE,NA,"No"
"x_coord",0.537559034617591,FALSE,NA,"No"
"y_coord",0.216800461230287,FALSE,NA,"No"
"crime_count_15min_walk",0.680290935015742,FALSE,NA,"No"
"dist_to_park_ft",1.47530149838153,TRUE,-0.464826739833917,"Yes"
"park_within_15min_walk",0.871618088182903,FALSE,NA,"No"
"dist_transit_ft",2.34157252049875,TRUE,0.0130176914956018,"Yes"
"transit_15min_walk",0.597635491372402,FALSE,NA,"No"
"dist_to_hospital_ft",1.81695468071042,TRUE,-0.501233905710047,"Yes"
"hospitals_15min_walk",1.45764494189435,TRUE,0.760930961232357,"Yes"
"total_popE",0.5685914306182,FALSE,NA,"No"
"median_incomeE",0.84200276662826,FALSE,NA,"No"
"per_cap_incomeE",1.74188062481375,TRUE,0.335636577471447,"Yes"
"PCBACHMORE",0.763144110282863,FALSE,NA,"No"
"PCTPOVERTY",0.939180854548374,FALSE,NA,"No"
"dist_to_nearest_school_ft",1.36422286464005,TRUE,-0.882416992878815,"Yes"
"schools_within_15min_walk",0.488195803981694,FALSE,NA,"No"
